	NUMBER	GLOSS	Huang_Chinese	English_Macy_edit	English	Huang_STEDT_English	English_by_concepticon	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note
586	Chen-2013-888-587	齐									
587	Chen-2013-888-588	对	对	right /	right /	right / correct	right /	1725	CORRECT (RIGHT)	2	
588	Chen-2013-888-589	错	错	wrong	wrong	wrong	wrong	1390	WRONG		
589	Chen-2013-888-590	真	真	true	true	true (words)||true	true	1657	TRUE	4	
590	Chen-2013-888-591	假	假 ((货)~)	fake			fake (goods)	3069	FALSE	4	
591	Chen-2013-888-592	生		raw				1959	RAW	2	
592	Chen-2013-888-593	熟		cooked				269	COOKED	2	
593	Chen-2013-888-594	新	新	new	new	new	new	1231	NEW	2	
594	Chen-2013-888-595	旧	旧	used /	used /	used / old||used / old (of things)	used /	2113	OLD (USED)	2	
595	Chen-2013-888-596	好	好	good	good	good||good (thought)||good (quality of material)	good	1035	GOOD	2	
596	Chen-2013-888-597	坏	坏 ((东西)~)	bad (things) (note:broken (bad			bad (things) (note:broken (bad	1292	BAD	2	
597	Chen-2013-888-598	贵	贵(~价钱)	expensive, high social status			expensive	1426	EXPENSIVE	2	
598	Chen-2013-888-599	贱		low social status							
599	Chen-2013-888-600	老	老	old, be	old, be	old, be	old, be	2112	OLD (AGED)	2	
600	Chen-2013-888-601	嫩	年轻	young			young	1207	YOUNG	4	
601	Chen-2013-888-602	美	好看	beautiful / pleasant to the			beautiful / pleasant to the	1427	BEAUTIFUL		
602	Chen-2013-888-603	丑	"丑 (""不好看"")"	ugly (looking)			ugly (looking)	1548	UGLY	2	
603	Chen-2013-888-604	热	热 ((水)~)	hot (water)			hot (water)	1286	HOT	2	
604	Chen-2013-888-605	冷	冷	cold (weather,	cold (weather,	cold (weather, water)||cold (water)||cold (weather)	cold (weather,	1287	COLD	2	
605	Chen-2013-888-606	难	难	difficult	difficult	difficult	difficult	584	DIFFICULT	2	
606	Chen-2013-888-607	容易	容易	easy	easy	easy	easy	686	EASY	2	
607	Chen-2013-888-608	香	香(气味~)	fragrant			fragrant	376	FRAGRANT	2	
608	Chen-2013-888-609	臭		stinking /	stinking /	stinking / smelly		1587	SMELL (STINK)	2	
609	Chen-2013-888-610	酸	酸	sour	sour	sour	sour	1906	SOUR	2	
610	Chen-2013-888-611	甜	甜	sweet	sweet	sweet	sweet	717	SWEET	2	
611	Chen-2013-888-612	苦	苦	bitter	bitter	bitter	bitter	887	BITTER	2	
612	Chen-2013-888-613	辣	辣	peppery	peppery	peppery	hot /	544	SPICY	2	
613	Chen-2013-888-614	咸	咸	salty	salty	salty	salty	1091	SALTY	2	
614	Chen-2013-888-615	醒		awake				825	AWAKE	2	
615	Chen-2013-888-616	忙	忙	busy	busy	busy	busy	2755	BUSY	2	
616	Chen-2013-888-617	富	有(~钱)	rich	rich	rich	have (money)	712	RICH	2	
617	Chen-2013-888-618	穷	穷	poor	poor	poor	poor	1674	POOR	2	
618	Chen-2013-888-619	干净	干净	clean	clean	clean	clean	704	CLEAN	2	
619	Chen-2013-888-620	脏	脏	dirty	dirty	dirty	dirty	1230	DIRTY	2	
620	Chen-2013-888-621	饱		eaten one's fill,	eaten one's fill,	eaten one's fill, have		106	SATIATED	2	
621	Chen-2013-888-622	饿	饿	hungry, be	hungry, be	hungry, be	hungry, be	1533	BE HUNGRY	2	
622	Chen-2013-888-623	渴	渴	thirsty, be	thirsty, be	thirsty, be	thirsty, be	847	THIRSTY	2	
623	Chen-2013-888-624	困		sleepy							
624	Chen-2013-888-625	累	累	tired, be / fatigued	tired, be / fatigued	tired, be / fatigued	tired, be / fatigued	1757	TIRED	2	
625	Chen-2013-888-626	急		rush							
626	Chen-2013-888-627	聪明		clever	clever	clever		2530	SMART	2	
627	Chen-2013-888-628	傻	蠢	stupid			stupid	1518	STUPID	2	
628	Chen-2013-888-629	勤快		industrious /	industrious /	industrious / hardworking		2077	DILIGENT	2	
629	Chen-2013-888-630	懒	懒	lazy	lazy	lazy	lazy	1564	LAZY	2	
630	Chen-2013-888-631	凶		fierce							add fierce
631	Chen-2013-888-632	响	响	loud	loud	loud	loud	377	LOUD		
632	Chen-2013-888-633	熬		decoct (herbal	decoct (herbal	decoct (porridge / conjee)||decoct (herbal medicine)					
633	Chen-2013-888-634	拔		pull out				2325	PULL OUT	2	
634	Chen-2013-888-635	搻	拿	take / hold / get			take / hold / get	1749	TAKE		
635	Chen-2013-888-636	搬	搬(~凳子)	move (a			move (a	765	MOVE	2	
636	Chen-2013-888-637	帮助	帮助	help	help	help	help	1897	HELP	2	
637	Chen-2013-888-638	捆绑	绑	bind			bind / tie	1917	TIE		
638	Chen-2013-888-639	剥		peel				275	PEEL	2	
639	Chen-2013-888-640	抱	拥抱	hug			embrace / hug	928	EMBRACE	2	
640	Chen-2013-888-641	背		back	back	back		465	CARRY ON BACK	2	
641	Chen-2013-888-642	比		compare							
642	Chen-2013-888-643	编（辫子）	辫子 ((女人的)~)				braid / plait (female's) (note:+female)	1043	BRAID	4	
643	Chen-2013-888-644	编（篮子）	辫子 ((女人的)~)				braid / plait (female's) (note:+female)	1043	BRAID	4	
644	Chen-2013-888-645	变	换	change			change	1264	CHANGE	2	
645	Chen-2013-888-646	病		ill, to be	ill, to	ill, to be		1847	SICK	2	
646	Chen-2013-888-647	补						2243	REPAIR	2	
647	Chen-2013-888-648	猜	猜(~谜)	guess			guess (a	1932	GUESS	2	
648	Chen-2013-888-649	踩	踏	step on / tread	step on /	step on / tread	step on / trample / stamp	2065	STEP (VERB)	2	
649	Chen-2013-888-650	藏		hide something or someone				2486	HIDE	2	
650	Chen-2013-888-651	插		insert				3071	INSERT	2	
651	Chen-2013-888-652	折		fold				1470	FOLD	4	
652	Chen-2013-888-653	缠	包(~药)	Wrap			wrap	1113	WRAP		
653	Chen-2013-888-654	唱	唱 (~(本族歌曲))	sing			sing (own songs)	1261	SING	2	
654	Chen-2013-888-655	炒	炒	stir-fry	stir-fry	stir-fry||stir-fry (grain)	stir-fry	2162	STIR FRY	2	
655	Chen-2013-888-656	沉	下陷	sink	sink	sink	cave in / sink	1088	SINK (DESCEND)		
656	Chen-2013-888-657	称	称(~粮食)	to weight			weigh	1098	WEIGH	2	
657	Chen-2013-888-658	成		to become				1990	BECOME		
658	Chen-2013-888-659	吃	吃	eat	eat	eat (meat, corn, etc.)||eat (rice, etc.)||eat	eat	1336	EAT	2	
659	Chen-2013-888-660	舂	研(~药)	pestle / pound	pestle / pound	pestle / pound	grind / pestle (medicine)	225	PESTLE		
660	Chen-2013-888-661	出						1107	GO OUT	2	
661	Chen-2013-888-662	锄（革）	挖	dig / scoop out			dig / scoop out	1418	DIG		
662	Chen-2013-888-663	穿（衣）		put on (another layer of clothing)				814	DRESS UP	4	
663	Chen-2013-888-664	穿（鞋）	套（～衣服）	put on (shoes)			put on (another layer of clothing)	158	PUT ON	4	
664	Chen-2013-888-665	吹（喇叭）	吹(~灰)	blow away (a speck of			blow away (a speck of	176	BLOW (WITH MOUTH)	4	
665	Chen-2013-888-666	搓	拧(~毛巾)	twist (a towel)			twist (a towel)	430	TWIST	2	
666	Chen-2013-888-667	答应	答应	promise /	promise /	promise / consent	promise /	1675	PROMISE		
667	Chen-2013-888-668	打鸣	叫(母鸡~)	crow (of hens)			crow (of hens)	2074	CROW (VERB)		
668	Chen-2013-888-669	打（人）	打(~人)	hit (a			hit (a	1433	HIT	4	
669	Chen-2013-888-670	打（枪）						3180	SHOOT (WITH SLINGSHOT)	4	
670	Chen-2013-888-671	戴（帽）	佩带	wear / bear			wear / bear	976	WEAR	2	
671	Chen-2013-888-672	戴（手镯）	佩带	wear / bear			wear / bear	976	WEAR	4	
672	Chen-2013-888-673	倒（下）	倒(墙~)	fall down (a wall) / topple			fall down (a wall) / topple	1280	FALL		
673	Chen-2013-888-674	到	到达	arrive			arrive	1387	ARRIVE	2	
674	Chen-2013-888-675	倒（水）	倒掉(~水)	pour or throw out (water)			pour or throw out (water)	1487	POUR		
675	Chen-2013-888-676	得到	收到	get / acquire	get / acquire	get / acquire	receive	694	GET		
676	Chen-2013-888-677	等	等待	wait			wait	1590	WAIT (FOR)	2	
677	Chen-2013-888-678	掉	掉(~下)	drop			drop	750	DROP	2	
678	Chen-2013-888-679	吊	吊	hang	hang	hang	hang	2884	HANG		
679	Chen-2013-888-680	跌倒	倒(墙~)	fall over / down	fall over / down	fall over / down	fall down (a wall) / topple	1280	FALL	2	
680	Chen-2013-888-681	动	搬(~家)	move			move	2874	MOVE (ONESELF)		
681	Chen-2013-888-682	堵塞		block up / plug	block up / plug	block up / plug					
682	Chen-2013-888-683	（线）断	弄断(~线)	snap (a thread)			snap (a thread)	460	BREAK (OF ROPE)	4	
683	Chen-2013-888-684	（扁担）断	弄断(~棍子)	snap / break (a stick)			snap / break (a stick)	2558	BREAK (CLEAVE)	4	
684	Chen-2013-888-685	躲避		dodge							
685	Chen-2013-888-686	剁		chop				2149	CHOP (INTO PIECES)	2	
686	Chen-2013-888-687	翻						1445	TURN (SOMETHING) 		
687	Chen-2013-888-688	发烧	发烧	fever, have	fever, have	fever, have	fever, have	1534	FEVER		
688	Chen-2013-888-689	纺	纺(~纱)				spin (into yarn)	121	SPIN	4	
689	Chen-2013-888-690	放（牛）						998	PUT	4	
690	Chen-2013-888-691	飞	飞	fly	fly	fly	fly	1441	FLY (MOVE THROUGH AIR)	2	
691	Chen-2013-888-692	分	分开(使~)	separate (cause to)			separate (cause to)	1359	SEPARATE	2	
692	Chen-2013-888-693	缝	缝	sew (up)	sew (up)	sew (up)	sew (up)	1457	SEW	2	
693	Chen-2013-888-694	孵	孵	hatch / incubate	hatch / incubate	hatch / incubate	hatch / incubate	2075	BROOD (VERB)	2	
694	Chen-2013-888-695	扶									
695	Chen-2013-888-696	浮	漂浮	float			float	1574	FLOAT	2	
696	Chen-2013-888-697	（应）该									
697	Chen-2013-888-698	改	改变	alter			alter	2856	CHANGE (SOMETHING)	2	
698	Chen-2013-888-699	盖（被）									
699	Chen-2013-888-700	盖（锅）	遮蔽					761	COVER		
700	Chen-2013-888-701	赶走	驱逐	drive out / expel			drive out / expel		DISPEL		
701	Chen-2013-888-702	敢	敢	dare	dare	dare	dare	1779	DARE	2	
702	Chen-2013-888-703	告诉	讲(~故事)	tell	tell	tell	tell (a story)	1711	TELL	2	
703	Chen-2013-888-704	割（草）	剖	cut / rip open			cut / rip open	1432	CUT	4	
704	Chen-2013-888-705	给	给	give	give	give (hand over)||give||give (as a gift)	give	1447	GIVE	2	
705	Chen-2013-888-706	耕	种(~麦子) (点~)	plant / raise (wheat) (scatter)	plough / till	plough / till	plant / raise (wheat) (scatter)	1486	PLANT (SOMETHING)		
706	Chen-2013-888-707	（猪）拱（土）									
707	Chen-2013-888-708	刮	刮(~风) (~(旋风))	blow (whirlwind) (note:+whirlwind)			blow (whirlwind) (note:+whirlwind)	175	BLOW (OF WIND)	2	
708	Chen-2013-888-709	挂	晾(~衣)	dry (clothes) in the air			dry (clothes) in the air	357	HANG UP	2	
709	Chen-2013-888-710	关（门）	关(~门)	close (the door)			close (the door)	1046	SHUT		
710	Chen-2013-888-711	滚	滚 ((及物动词))	roll (transitive) (note:tran)			roll (transitive) (note:tran)	827	ROLL	4	
711	Chen-2013-888-712	过（桥）	越过	cross / pass			cross / pass	1367	CROSS	4	
712	Chen-2013-888-713	害羞	害羞	shy, be / bashful	shy, be / bashful	shy, be / bashful	shy, be / bashful	487	SHY	2	
713	Chen-2013-888-714	喝	喝	drink	drink	drink	drink	1401	DRINK	2	
714	Chen-2013-888-715	哼									add hum
715	Chen-2013-888-716	划	划(~船)	paddle / row			paddle / row	234	PADDLE		
716	Chen-2013-888-717	化									
717	Chen-2013-888-718	怀孕	怀孕 ((指人))	pregnant, be (person) (note:+person)			pregnant, be (person) (note:+person)	1123	PREGNANT		
718	Chen-2013-888-719	还帐									
719	Chen-2013-888-720	换	交换	change	change	change||take (a breath)	exchange	2509	EXCHANGE	2	
720	Chen-2013-888-721	回来	回 (~去)	return (come back) (note:+go)			return (come back) (note:+go)	581	COME BACK		
721	Chen-2013-888-722	会（写）	会(~写)	know (to write)			know (to write)	2238	KNOW OR BE ABLE	4	
722	Chen-2013-888-723	挤		squeeze				1414	SQUEEZE	2	
723	Chen-2013-888-724	记得	想起	remember	remember	remember	recall / remember	707	REMEMBER	2	
724	Chen-2013-888-725	夹									
725	Chen-2013-888-726	捡	捡	pick up	pick up	pick up	pick up	371	PICK UP		
726	Chen-2013-888-727	剪	剪	scissor (wool, hair)	scissor (wool, hair)	scissor (for cutting cloth)||scissor||scissor (paper)||scissor (wool, hair)	scissor (wool, hair)	2155	CUT (WITH SCISSORS)	2	
727	Chen-2013-888-728	浇	浇(~水)	water / sprinkle / irrigate			water / sprinkle / irrigate	3078	IRRIGATE	4	
728	Chen-2013-888-729	吠	叫(狗~)	bark			bark	1204	BARK	2	
729	Chen-2013-888-730	结（果）	绑	bind / tie			bind / tie	1917	TIE	4	
730	Chen-2013-888-731	连接	连接	connect / join	connect / join	connect / join	connect / join	2862	CONNECT	2	
731	Chen-2013-888-732	解开	解开	untie / undo	untie / undo	untie / undo	untie / undo	352	UNTIE		
732	Chen-2013-888-733	借（钱）	借(~工具)	borrow (tools)			borrow (tools)	1823	BORROW	4	
733	Chen-2013-888-734	进（屋）	进(~屋)	enter (a house)			enter (a house)	749	ENTER	4	
734	Chen-2013-888-735	救	救	rescue / save	rescue / save	rescue / save	rescue / save	2008	RESCUE	2	
735	Chen-2013-888-736	锯			saw	saw					add saw (something)
736	Chen-2013-888-737	开（门）	开(~门)	open (a door)			open (a door)	1156	OPEN	2	
737	Chen-2013-888-738	（水）开	开(水~了)	boiling, be (water)			boiling, be (water)	792	BOIL (OF LIQUID)	4	
738	Chen-2013-888-739	（花）开		bloom				3287	BLOOM	4	
739	Chen-2013-888-740	砍（树）		cut a tree (with axe)				1432	CUT (WITH AXE)	4	
740	Chen-2013-888-741	砍（骨头）	劈(~柴)	chop (bone)			chop (firewood)	155	CHOP	4	
741	Chen-2013-888-742	看		watch	watch	watch		1819	LOOK	2	
742	Chen-2013-888-743	看见	看病(病人~)	see	see	see	see (a doctor)	1409	SEE	2	
743	Chen-2013-888-744	扛		carry on shoulder	shoulder	shoulder		413	CARRY ON SHOULDER	2	
744	Chen-2013-888-745	烤（火）		roast (on fire)				1962	ROAST (SOMETHING)	4	
745	Chen-2013-888-746	咳嗽	咳嗽	cough	cough	cough	cough	879	COUGH	2	
746	Chen-2013-888-747	啃	啃	gnaw / nibble	gnaw / nibble	gnaw / nibble	gnaw / nibble	2706	GNAW	2	
747	Chen-2013-888-748	哭		cry	cry	cry		1839	CRY	2	
748	Chen-2013-888-749	拉屎		empty the bowels	empty the bowels	empty the bowels		676	SHIT (DEFECATE)		
749	Chen-2013-888-750	来	来 ((将来时))	come			come (imperative)	1446	COME	2	
750	Chen-2013-888-751	烂						1728	ROTTEN	2	
751	Chen-2013-888-752	破裂	迸(~出)	break			spout / burst	680	BREAK (DESTROY OR GET DESTROYED)		
752	Chen-2013-888-753	流	流(水~)	flow			flow (of water)	2003	FLOW	2	
753	Chen-2013-888-754	留	流(水~)	stay			flow (of water)			2	
754	Chen-2013-888-755	漏	漏(~水) ((石锅)~)	leak			leak (iron pot)	2253	DRIP (EMIT LIQUID)	4	
755	Chen-2013-888-756	落	倒(墙~)	fall down (a wall) / topple			fall down (a wall) / topple	1280	FALL	2	
756	Chen-2013-888-757	骂	骂	scold	scold	scold	scold	299	SCOLD	4	
757	Chen-2013-888-758	埋	埋	bury	bury	bury	bury	1719	BURY	2	
758	Chen-2013-888-759	买	买	buy	buy	buy	buy	1869	BUY	2	
759	Chen-2013-888-760	卖	卖	sell	sell	sell	sell	1571	SELL	2	
760	Chen-2013-888-761	没有									
761	Chen-2013-888-762	（火）灭						127	EXTINGUISH	4	
762	Chen-2013-888-763	摸	摸	stroke / touch	stroke / touch	stroke / touch	stroke / touch	1892	TOUCH		
763	Chen-2013-888-764	磨（刀）						251	SHARPEN (SOMETHING)	4	
764	Chen-2013-888-765	磨（面）	磨(~面)	grind (flour)			grind (flour)	1033	GRIND	2	
765	Chen-2013-888-766	拿		take / hold / get	take / hold / get	take / hold / get		2104	HOLD OR TAKE	2	
766	Chen-2013-888-767	念									
767	Chen-2013-888-768	呕吐	呕吐	throw up / vomit	throw up / vomit	throw up / vomit	throw up / vomit	1278	VOMIT	2	
768	Chen-2013-888-769	爬行	爬(人~)	crawl (of people)			crawl (of people)	96	CRAWL		
769	Chen-2013-888-770	爬（树）	爬(~山)	climb (a tree)			climb (a mountain)	1102	CLIMB	4	
770	Chen-2013-888-771	怕	害怕	afraid, be			afraid, be	1419	FEAR (BE AFRAID)	2	
771	Chen-2013-888-772	拍		strike				2133	STRIKE OR BEAT	2	
772	Chen-2013-888-773	跑	跑	run	run	run	run	1519	RUN	2	
773	Chen-2013-888-774	泡		brew							
774	Chen-2013-888-775	赔									
775	Chen-2013-888-776	喷									
776	Chen-2013-888-777	劈						1437	SPLIT	4	
777	Chen-2013-888-778	（衣）破	迸(~出)				spout / burst	680	BREAK (DESTROY OR GET DESTROYED)	4	
778	Chen-2013-888-779	骑	骑	ride (a horse)	ride (a horse)	ride (a horse)	ride (a horse)	367	RIDE	2	
779	Chen-2013-888-780	起来	起来	rise / stand up	rise / stand up	get up (out of bed)||rise / stand up	rise / stand up	570	STAND UP		
780	Chen-2013-888-781	牵	"带(~路) (""带头"")"	"lead (the way) / guide (lit. 'lead head') (note:""pioneer"")"			"lead (the way) / guide (lit. 'lead head') (note:""pioneer"")"	43	LEAD (GUIDE)	4	
781	Chen-2013-888-782	欠	欠(~钱)	owe (money)			owe (money)	369	OWE	2	
782	Chen-2013-888-783	抢	抢	rob / loot	rob / loot	rob / loot	rob / loot	2073	ROB (VERB)	2	
783	Chen-2013-888-784	敲	敲	knock / strike	knock / strike	knock / strike	knock / strike	2396	KNOCK		
784	Chen-2013-888-785	请									
785	Chen-2013-888-786	去	去	go / leave	go / leave	go / leave (past)||go / leave||go / leave (future)	go / leave	695	GO	2	
786	Chen-2013-888-787	缺		lack off							
787	Chen-2013-888-788	燃	着(~火) ((房子)~火)	burn			catch (fire) / be (on fire) (a house)	2012	BURN		
788	Chen-2013-888-789	认识		know (someone)				2248	KNOW (SOMEBODY)	2	
789	Chen-2013-888-790	融化		melt				2334	MELT	2	
790	Chen-2013-888-791	撒尿	撒(~尿)	piss			piss / pee	592	PISS		
791	Chen-2013-888-792	扫	扫	sweep	sweep	sweep	sweep	230	SWEEP	4	
792	Chen-2013-888-793	杀（人）	杀 (~(人))	kill (a person)			kill (a person)	1417	KILL	4	
793	Chen-2013-888-794	筛	筛(~米)	sieve / sift			sieve / sift	86	SIEVE	2	
794	Chen-2013-888-795	晒	晒(~衣服)	dry (clothes) in the sun			dry (clothes) in the sun	2015	MAKE DRY	2	
795	Chen-2013-888-796	上（楼）	升起	rise / go up			rise / go up	705	GO UP (ASCEND)	4	
796	Chen-2013-888-797	烧（山）						141	BURN (SOMETHING)	4	
797	Chen-2013-888-798	射	射(~箭)	shoot			shoot (an arrow)	1172	SHOOT	2	
798	Chen-2013-888-799	生（小孩）	生(~孩子)	birth, give to			birth, give to	1195	GIVE BIRTH	4	
799	Chen-2013-888-800	是		yes				1268	YES	2	
800	Chen-2013-888-801	不是		no				1269	NO	2	
801	Chen-2013-888-802	收（玉米）	收到	harvest			receive	694	GET	4	
802	Chen-2013-888-803	守（庄稼）									
803	Chen-2013-888-804	梳	梳	comb	comb	comb	comb	2070	COMB (VERB)	4	
804	Chen-2013-888-805	输	输 ((赌~))	lose (a game) (gambling)			lose (a game) (gambling)	1660	LOSE	2	
805	Chen-2013-888-806	数（钱）	数(~数目)	count (numbers)			count (numbers)	1420	COUNT	4	
806	Chen-2013-888-807	拴（牛）		tie up (cattle)				2891	TIE UP (TETHER)		
807	Chen-2013-888-808	睡觉	睡	sleep			sleep	1585	SLEEP	2	
808	Chen-2013-888-809	说		speak	speak	speak		1458	SAY	2	
809	Chen-2013-888-810	送（客）	给	send (people away)			give	1447	GIVE	4	
810	Chen-2013-888-811	赠送		give (as a present)							
811	Chen-2013-888-812	缩		shrink				54	SHRINK		
812	Chen-2013-888-813	抬	揭(~盖子)	lift up / carry	lift up / carry	lift up / carry	lift (the lid)	501	LIFT	2	
813	Chen-2013-888-814	逃跑	逃跑	escape / run away	escape / run away	escape / run away	escape / run away	2142	RUN AWAY	2	
814	Chen-2013-888-815	乞讨	讨(~饭)	beg (for food)			beg (for food)	1828	ASK (REQUEST)		
815	Chen-2013-888-816	疼		pain				1129	PAINFUL	4	
816	Chen-2013-888-817	提	揭(~盖子)	lift (the lid)			lift (the lid)	501	LIFT	2	
817	Chen-2013-888-818	填	填(~坑)	fill up (a hollow)			fill up (a hollow)	2006	FILL		
818	Chen-2013-888-819	挑（水）		carry (water)				413	CARRY ON SHOULDER	4	
819	Chen-2013-888-820	跳	跳(~远)	jump			jump	1829	JUMP	2	
820	Chen-2013-888-821	听	听	listen	listen	listen	listen	1608	LISTEN	2	
821	Chen-2013-888-822	听见	听见	hear	hear	hear	hear	1408	HEAR	2	
822	Chen-2013-888-823	偷	偷	steal	steal	steal	steal	713	STEAL	2	
823	Chen-2013-888-824	吐（痰）	吐(~痰)	spit			spit	1440	SPIT	2	
824	Chen-2013-888-825	推	推 (~(车,人))	push			push / shove (people, cars)	1452	PUSH	2	
825	Chen-2013-888-826	退	退(后~)	retreat			back up / retreat	421	RETREAT	2	
826	Chen-2013-888-827	拖	牵(~牛)	pull			pull / lead (a cow) along	1455	PULL	2	
827	Chen-2013-888-828	脱（衣）	脱(~衣)	take off (cloth)			take off (clothes)	1755	UNDRESS	4	
828	Chen-2013-888-829	脱（皮）	脱(~衣)	shed			take off (clothes)	1755	UNDRESS	4	
829	Chen-2013-888-830	挖	挖	dig / scoop out	dig / scoop out	dig / scoop out	dig / scoop out	1418	DIG	2	
830	Chen-2013-888-831	忘记	忘记	forget	forget	forget	forget	1523	FORGET	2	
831	Chen-2013-888-832	喂（猪）		feed (pig)				739	FEED	4	
832	Chen-2013-888-833	嗅	闻(臭)	to smell			smell	1586	SMELL (PERCEIVE)	2	
833	Chen-2013-888-834	问	问	ask / question	ask / question	ask / question	ask / question	1309	ASK (INQUIRE)	2	
834	Chen-2013-888-835	吸气	吸(~气)	inhale			inhale	2705	INHALE		
835	Chen-2013-888-836	洗（碗）	洗(~衣)	to wash (dish)			wash (clothes)	1453	WASH	4	
836	Chen-2013-888-837	洗（衣）	洗(~衣)	to wash (cloth)			wash (clothes)	1453	WASH	4	
837	Chen-2013-888-838	下（楼）		go down (staires)				374	ONE TIME	4	
838	Chen-2013-888-839	下（雨）		fall down (rain drop)				1253	RAIN (RAINING)	4	
839	Chen-2013-888-840	下（小猪）	生(~孩子)	give birth (pig)			birth, give to	1195	GIVE BIRTH	4	add give birth (animal)
840	Chen-2013-888-841	想		think	think	think		2271	THINK	2	
841	Chen-2013-888-842	削		pare / peel with a knife	pare / peel with a knife	pare / peel with a knife		275	PEEL		
842	Chen-2013-888-843	笑	笑	laugh / smile	laugh / smile	laugh / smile	laugh / smile	1355	LAUGH	2	
843	Chen-2013-888-844	醒		wake				1602	WAKE UP	2	
844	Chen-2013-888-845	选	挑选	to select			choose / pick	1750	CHOOSE		
845	Chen-2013-888-846	寻找		find / look for||display structure	display structure	find / look for||display structure		1468	LOOK FOR	2	
846	Chen-2013-888-847	压	压	press / push down	press / push down	press / push down	press / push down	1913	PRESS	2	
847	Chen-2013-888-848	痒		itch / tickle	itch / tickle	itch / tickle		148	ITCH	2	
848	Chen-2013-888-849	摇	震动	to sway			shake / quake	1909	SHAKE		
849	Chen-2013-888-850	咬	咬 (~(牙))	to bite			bite (of snakes) (note: (wrong number))	1403	BITE	2	
850	Chen-2013-888-851	要	爱(~吃)	want / need	want / need	want / need	like (to eat	1784	WANT	2	
851	Chen-2013-888-852	移动	搬(~凳子)	move			move (a	765	MOVE		
852	Chen-2013-888-853	游	游泳	swim			swim	1439	SWIM	2	
853	Chen-2013-888-854	有	有(碗里~水)	yes (have)			there is (water in the bowl)	2152	THERE IS OR THERE ARE	2	
854	Chen-2013-888-855	没有		don`t have				2329	LACK (NOT HAVE)		
855	Chen-2013-888-856	栽	种(~麦子) (点~)	to plant			plant / raise (wheat) (scatter)	1486	PLANT (SOMETHING)		
856	Chen-2013-888-857	炸	热(~饭) ((炒)~)	to deep fried			fry (cold rice)	991	FRY	4	
857	Chen-2013-888-858	站	站	stand	stand	stand	stand	1442	STAND	2	
858	Chen-2013-888-859	长（大）		grow up				552	GROW UP	4	
859	Chen-2013-888-860	胀	肿				swell (of tissue)	1573	SWELL		
860	Chen-2013-888-861	找		to find				1468	LOOK FOR	2	
861	Chen-2013-888-862	照									
862	Chen-2013-888-863	折断	弄断(~棍子)	to break (a stick)			snap / break (a stick)	2558	BREAK (CLEAVE)		
863	Chen-2013-888-864	争									
864	Chen-2013-888-865	蒸		steam	steam	steam		2068	BRAISE (VERB)	2	
865	Chen-2013-888-866	知道	知道	know		know		1410	KNOW (SOMETHING)	2	
866	Chen-2013-888-867	织（布）	编(~篮子)	to knit			weave (a	133	WEAVE	2	
867	Chen-2013-888-868	指		point at / to / out	point at / to / out	point at / to / out					add point to 
868	Chen-2013-888-869	肿	肿	swell (of tissue)	swell (of tissue)	swell (of tissue)	swell (of tissue)	1573	SWELL	2	
869	Chen-2013-888-870	种（菜）		plant				653	PLANT (VEGETATION)	4	
870	Chen-2013-888-871	煮		cook				1100	COOK (SOMETHING)	4	
871	Chen-2013-888-872	住		live				363	DWELL (LIVE, RESIDE)	2	
872	Chen-2013-888-873	抓	挠(~痒)	scratch			scratch (an itch)	1436	SCRATCH	2	
873	Chen-2013-888-874	转（身）	转动(使~)	to turn around (human turn arround to look the opposite site)			turn (cause to)	1588	TURN	4	
874	Chen-2013-888-875	转动	纺(~纱)	to roll			spin (into yarn)	121	SPIN		
875	Chen-2013-888-876	装		to fill				1679	LOAD	4	
876	Chen-2013-888-877	追	打猎	chase after	chase after	chase after	hunt	1435	HUNT	2	
877	Chen-2013-888-878	捉	捉	catch / capture	catch / capture	catch / capture	catch / capture	702	CATCH	2	
878	Chen-2013-888-879	啄		peck							add peck
879	Chen-2013-888-880	走	走	walk	walk	walk	walk	1443	WALK	2	
880	Chen-2013-888-881	醉	醉	drunk, be	drunk, be	drunk, get||drunk, be	drunk, be	1463	DRUNK	2	
881	Chen-2013-888-882	坐		sit down	sit down	sit down		1416	SIT	2	
882	Chen-2013-888-883	做		do / make	do / make	do / make (past)||do / make||do / make (future)		813	DO	4	
883	Chen-2013-888-884	不		not				1240	NOT	2	
884	Chen-2013-888-885	都	一切	all / everything			all / everything	98	ALL	2	
885	Chen-2013-888-886	也		too							
886	Chen-2013-888-887	很		very				1311	VERY	2	
887	Chen-2013-888-888	和		and				1577	AND	2	
888	Chen-2013-888-889	的									
889	Chen-2013-888-890	极		very				1311	VERY		
